DistXS,Height,Site,Bank,Dist
0,1.324,ISLA1.7,LB,8
3.739208248,0.015,ISLA1.7,LB,4
5.03250331,-0.14,ISLA1.7,LB,2
6.063648125,-0.308,ISLA1.7,LB,1
7.324460894,-0.375,ISLA1.7,LB,0
7.550291672,-0.462,ISLA1.7,AQ,Aq
8.030626796,-0.445,ISLA1.7,AQ,Aq
8.667967442,-0.368,ISLA1.7,AQ,Aq
9.337772687,-0.438,ISLA1.7,AQ,Aq
9.747603452,-0.48,ISLA1.7,AQ,Aq
10.81683987,-0.419,ISLA1.7,AQ,Aq
11.85580725,-0.44,ISLA1.7,AQ,Aq
12.8783984,-0.451,ISLA1.7,AQ,Aq
13.71837263,-0.482,ISLA1.7,AQ,Aq
14.58472669,-0.408,ISLA1.7,AQ,Aq
15.47332611,-0.472,ISLA1.7,AQ,Aq
16.31762584,-0.452,ISLA1.7,AQ,Aq
17.01396526,-0.472,ISLA1.7,AQ,Aq
17.76828766,-0.429,ISLA1.7,AQ,Aq
18.29529144,-0.413,ISLA1.7,AQ,Aq
19.00789041,-0.386,ISLA1.7,AQ,Aq
19.53584409,-0.341,ISLA1.7,RB,0
20.39827148,-0.153,ISLA1.7,RB,1
21.64805022,0.252,ISLA1.7,RB,2
23.63015179,0.38,ISLA1.7,RB,4
27.46596059,0.595,ISLA1.7,RB,8
36.22832265,0.521,ISLA1.7,RB,16
54.17816002,0.534,ISLA1.7,RB,32
84.95244909,0.807,ISLA1.6,LB,64
121.756224,0.24,ISLA1.6,LB,32
139.8038778,0.082,ISLA1.6,LB,16
148.3334918,-0.1,ISLA1.6,LB,8
152.2741229,-0.198,ISLA1.6,LB,4
154.0957235,-0.198,ISLA1.6,LB,2
155.3970807,-0.239,ISLA1.6,LB,1
156.5595274,-0.261,ISLA1.6,LB,0
157.0442924,-0.27,ISLA1.6,AQ,Aq
157.9691521,-0.317,ISLA1.6,AQ,Aq
159.1559007,-0.347,ISLA1.6,AQ,Aq
160.4943877,-0.31,ISLA1.6,AQ,Aq
161.7423191,-0.345,ISLA1.6,AQ,Aq
163.0620593,-0.37,ISLA1.6,AQ,Aq
164.3452378,-0.418,ISLA1.6,AQ,Aq
165.7528176,-0.368,ISLA1.6,AQ,Aq
167.3946981,-0.434,ISLA1.6,AQ,Aq
168.5381952,-0.454,ISLA1.6,AQ,Aq
169.5770865,-0.5,ISLA1.6,AQ,Aq
170.7617937,-0.496,ISLA1.6,AQ,Aq
172.0821039,-0.506,ISLA1.6,AQ,Aq
173.4223194,-0.51,ISLA1.6,AQ,Aq
174.8389371,-0.536,ISLA1.6,AQ,Aq
176.2288792,-0.572,ISLA1.6,AQ,Aq
177.6010023,-0.601,ISLA1.6,AQ,Aq
179.3954696,-0.62,ISLA1.6,AQ,Aq
180.9426097,-0.59,ISLA1.6,AQ,Aq
182.3676918,-0.68,ISLA1.6,AQ,Aq
184.0513377,-0.668,ISLA1.6,AQ,Aq
185.5966356,-0.682,ISLA1.6,AQ,Aq
186.7971237,-0.668,ISLA1.6,AQ,Aq
188.0436507,-0.675,ISLA1.6,AQ,Aq
189.3732836,-0.673,ISLA1.6,AQ,Aq
190.4147578,-0.673,ISLA1.6,AQ,Aq
191.6570645,-0.715,ISLA1.6,AQ,Aq
193.0772595,-0.81,ISLA1.6,AQ,Aq
194.1602369,-0.86,ISLA1.6,AQ,Aq
195.2801631,-0.976,ISLA1.6,AQ,Aq
196.3302087,-1.029,ISLA1.6,AQ,Aq
197.3317328,-1.091,ISLA1.6,AQ,Aq
198.2900464,-1.114,ISLA1.6,AQ,Aq
199.9997087,-1.097,ISLA1.6,AQ,Aq
201.1047738,-1.182,ISLA1.6,AQ,Aq
215.9106562,-1.269,ISLA1.6,AQ,Aq
216.4924877,-1.118,ISLA1.6,AQ,Aq
217.9346594,-1.073,ISLA1.6,AQ,Aq
220.8247416,-1.004,ISLA1.6,AQ,Aq
222.5538878,-0.964,ISLA1.6,AQ,Aq
224.5716882,-0.875,ISLA1.6,AQ,Aq
225.6745811,-0.71,ISLA1.6,AQ,Aq
226.5141907,-0.588,ISLA1.6,AQ,Aq
227.9568273,-0.443,ISLA1.6,RB,0
229.0845846,-0.328,ISLA1.6,RB,1
230.1145516,-0.243,ISLA1.6,RB,2
232.0494508,-0.064,ISLA1.6,RB,4
236.3449272,0.134,ISLA1.6,RB,8
244.2681763,-0.025,ISLA1.6,RB,16
246.2720151,-0.082,ISLA1.5,LB,8
250.1514401,-0.162,ISLA1.5,LB,4
251.8970314,-0.172,ISLA1.5,LB,2
252.8532097,-0.188,ISLA1.5,LB,1
254.2032215,-0.219,ISLA1.5,LB,0
255.0727592,-0.244,ISLA1.5,AQ,Aq
256.3111191,-0.275,ISLA1.5,AQ,Aq
258.0699622,-0.288,ISLA1.5,AQ,Aq
260.1967201,-0.292,ISLA1.5,AQ,Aq
262.0491382,-0.329,ISLA1.5,AQ,Aq
263.933695,-0.315,ISLA1.5,AQ,Aq
266.1045289,-0.33,ISLA1.5,AQ,Aq
268.3797913,-0.325,ISLA1.5,AQ,Aq
270.5718255,-0.348,ISLA1.5,AQ,Aq
272.5803312,-0.381,ISLA1.5,AQ,Aq
274.4545853,-0.408,ISLA1.5,AQ,Aq
275.9667018,-0.444,ISLA1.5,AQ,Aq
277.5639515,-0.453,ISLA1.5,AQ,Aq
278.9858069,-0.536,ISLA1.5,AQ,Aq
280.311534,-0.549,ISLA1.5,AQ,Aq
280.4071139,-0.474,ISLA1.5,AQ,Aq
280.9065264,-0.527,ISLA1.5,AQ,Aq
281.2896271,-0.537,ISLA1.5,AQ,Aq
281.7134767,-0.551,ISLA1.5,AQ,Aq
282.2492173,-0.475,ISLA1.5,AQ,Aq
282.7815623,-0.524,ISLA1.5,AQ,Aq
283.4316274,-0.466,ISLA1.5,RB,0
284.9013153,-0.473,ISLA1.5,RB,1
286.9389426,-0.406,ISLA1.5,RB,2
289.2226901,-0.353,ISLA1.5,RB,4
292.935139,-0.183,ISLA1.5,RB,8
301.198507,-0.06,ISLA1.5,RB,16
307.0940881,-0.025,ISLA1.4,LB,8
312.135691,0.008,ISLA1.4,LB,4
313.9334187,0.027,ISLA1.4,LB,2
314.6744321,-0.002,ISLA1.4,LB,1
315.8230091,-0.534,ISLA1.4,LB,0
316.803154,-0.98,ISLA1.4,AQ,Aq
318.2873297,-1.118,ISLA1.4,AQ,Aq
320.5581127,-1.001,ISLA1.4,AQ,Aq
323.3882204,-0.849,ISLA1.4,AQ,Aq
325.9497526,-0.848,ISLA1.4,AQ,Aq
328.0226342,-0.859,ISLA1.4,AQ,Aq
329.9379033,-0.761,ISLA1.4,AQ,Aq
331.5835951,-0.7,ISLA1.4,AQ,Aq
332.8185245,-0.564,ISLA1.4,RB,0
333.9527178,-0.461,ISLA1.4,RB,1
334.9171085,-0.373,ISLA1.4,RB,2
336.9499239,-0.34,ISLA1.4,RB,4
338.6262938,-0.328,ISLA1.3,LB,8
340.9995873,-0.335,ISLA1.3,LB,4
342.971278,-0.472,ISLA1.3,LB,2
343.9059386,-0.476,ISLA1.3,LB,1
344.7823579,-0.553,ISLA1.3,LB,0
345.9218842,-0.624,ISLA1.3,AQ,Aq
347.4500632,-0.751,ISLA1.3,AQ,Aq
