"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDistxOrderClass","logDistxRegion","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"17",-0.569100034740261,NA,NA,NA,-0.257792286168111,NA,NA,"+",NA,NA,NA,NA,NA,NA,0.312816561609176,6,-352.063295185567,716.447201058156,0,0.135921325345628
"9",-1.09091998780713,NA,NA,NA,-0.26100249199996,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.314528885777943,7,-351.752247616463,717.933614006873,1.48641294871607,0.0646423490389207
"2841",-0.189977846087021,"+","+",NA,-0.182188781758104,NA,"+","+",NA,NA,NA,NA,"+",NA,0.371410783122429,17,-340.988097137233,718.414441286418,1.9672402282614,0.0508284437439698
"289",-0.022816440042227,"+","+",NA,-0.267416054329884,NA,"+","+",NA,NA,NA,NA,NA,NA,0.353652398477542,14,-344.442040976021,718.53762525913,2.09042420097308,0.0477922803620821
"251",-0.333612364524605,NA,NA,NA,-0.261394231449619,NA,"+","+",NA,NA,NA,NA,NA,NA,0.324514644707822,9,-349.923841119556,718.542662934093,2.09546187593673,0.0476720508578216
"2811",-0.483545699779017,NA,NA,NA,-0.186080626066936,NA,"+","+",NA,NA,NA,NA,"+",NA,0.341293018962232,12,-346.794599360971,718.807948721943,2.36074766378636,0.0417501229560342
"18",-0.676119870782384,"+",NA,NA,-0.256444051546921,NA,NA,"+",NA,NA,NA,NA,NA,NA,0.316656083252411,8,-351.364832794482,719.28351174281,2.8363106846532,0.0329147500113261
"2",-0.864611408244599,"+",NA,NA,-0.255857497224798,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304890074016448,6,-353.493861066381,719.308332819785,2.86113176162894,0.032508784574931
"25",-0.828284305519581,NA,NA,NA,-0.25850010200214,"+",NA,"+",NA,NA,NA,NA,NA,NA,0.321961468676789,9,-350.393701582761,719.482383860504,3.03518280234721,0.0297992977282276
"1",-0.795623865069844,NA,NA,NA,-0.257848892889192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291726391105691,4,-355.836521053299,719.824557258112,3.37735619995578,0.0251133136110051
"10",-1.37042088501825,"+",NA,NA,-0.261381806449943,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.320690190315652,9,-350.627043982375,719.94906865973,3.50186760157385,0.0235975390122812
"529",-0.538711464476601,NA,NA,NA,-0.27866482379106,NA,NA,"+",NA,NA,NA,NA,NA,"+",0.314546997653275,8,-351.748953705625,720.051753565096,3.60455250693963,0.0224165600747009
"273",-0.202710805660177,NA,"+",NA,-0.264454214736432,NA,"+","+",NA,NA,NA,NA,NA,NA,0.337068675554577,12,-347.589342184673,720.397434369346,3.95023331118966,0.0188584213980726
