Overall
,Lower CI 50%,50%,Upper CI 50%,Lower CI 10%,10%,Upper CI 10%
,0.69,0.67,0.65,239.43,345.28,524.72
pWidth
,Lower CI 50%,50%,Upper CI 50%,Lower CI 10%,10%,Upper CI 10%
,0.41,0.38,0.36,143.06,198.79,289.44
pOrderClass
,Lower CI 50%,50%,Upper CI 50%,Lower CI 10%,10%,Upper CI 10%
1to2,0.24,0.22,0.2,77.99,103.79,143.78
3to4,0.71,0.69,0.68,231.06,330.2,496.13
5to6,0.8,0.79,0.78,261.96,377.46,572.5
7,2.55,2.72,2.91,832.39,1293.88,2139.73
pBanks
,Lower CI 50%,50%,Upper CI 50%,Lower CI 10%,10%,Upper CI 10%
Gradual,0.53,0.51,0.49,194.13,275.95,412.49
Steep,0.32,0.29,0.27,115.82,159.05,228.56
Terrace,1.61,1.66,1.72,586.17,897.01,1458.82
pVegFld
,Lower CI 50%,50%,Upper CI 50%,Lower CI 10%,10%,Upper CI 10%
Barren,1.57,1.62,1.67,548.03,832.43,1341.73
Overstory,0.3,0.28,0.26,105.72,143.99,204.91
Understory,0.5,0.48,0.45,173.98,244.91,361.92
pVegShift
,Lower CI 50%,50%,Upper CI 50%,Lower CI 10%,10%,Upper CI 10%
Barren–Overstory,1.18,1.19,1.21,418.56,624.82,987.38
Barren–Understory,2.97,3.19,3.47,1053.08,1671.26,2832.34
None,0.24,0.22,0.2,85.01,114.16,159.87
Overstory–Understory,0.57,0.54,0.52,200.65,285.26,426.35
Understory–Overstory,0.59,0.57,0.55,209.83,299.2,448.7
xWidth
,Lower CI 50%,50%,Upper CI 50%,Lower CI 10%,10%,Upper CI 10%
,0.36,0.36,0.36,222.99,223.42,223.86
