"","Pseudo R^2","LikRatio","p","DF","AICc","delta","weight"
"xOrder",0.3522,"10.4047","0.5805",16,735.43,19.14,0
"xGeomorph",0.1721,"4.2268","0.646",10,728.3,12.01,6e-04
"xGroup",-0.0141,"1.7171","0.7876",8,726.51,10.22,0.0015
"pOrder",0.5297,"6.4129","0.3786",10,726.11,9.82000000000005,0.0018
"xVegShift",0.7742,"11.767","0.1619",12,725.12,8.83000000000004,0.0029
"pGroup",-0.0017,"0.3585","0.8359",6,723.64,7.35000000000002,0.0062
"xVegUp",0.0412,"0.9599","0.6188",6,723.03,6.74000000000001,0.0084
"xOrderClass",0.4491,"9.9336","0.1275",10,722.59,6.30000000000007,0.0104
"xBanks",0.4798,"5.7437","0.2191",8,722.48,6.19000000000005,0.011
"pGeomorph",0.2062,"3.629","0.3044",7,722.47,6.18000000000006,0.0111
"xRegion",0.2955,"10.5978","0.1016",10,721.93,5.63999999999999,0.0145
"pRegion",0.2853,"4.7104","0.1943",7,721.39,5.10000000000002,0.019
"pVegUp",0.0834,"0.6377","0.4245",5,721.26,4.97000000000003,0.0203
"xVegFld",0.4878,"8.1751","0.0854",8,720.05,3.75999999999999,0.0372
"Distance",0,"NA","NA",4,719.82,3.53000000000009,0.0417
"pBanks",0.5136,"4.6853","0.0961",6,719.31,3.01999999999998,0.0538
"xWidth",0.4245,"5.712","0.0575",6,718.28,1.99000000000001,0.0901
"pVegShift",0.6838,"10.0241","0.04",8,718.2,1.91000000000008,0.0937
"pOrderClass",0.5652,"8.1685","0.0427",7,717.93,1.63999999999999,0.1073
"pVegFld",0.4427,"7.5465","0.023",6,716.45,0.160000000000082,0.2249
"pWidth",0.4183,"5.6146","0.0178",5,716.29,0,0.2436
