"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDist:OrderClass","logDist:Region","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"1341",-1.89595860205302,NA,NA,"+",-0.118794785745844,"+","+","+",NA,NA,"+",NA,"+",NA,0.249220220400375,19,-844.97485190337,1729.07064775954,0,0.0861071155360266
"317",-1.92113726056836,NA,NA,"+",-0.101228682499937,"+","+","+",NA,NA,"+",NA,NA,NA,0.241602162309822,16,-848.186743223518,1729.17231170401,0.101663944468555,0.0818395054289663
"829",-1.98810844660332,NA,NA,"+",-0.0468061624916951,"+","+","+",NA,NA,"+","+",NA,NA,0.24907453799966,19,-845.036551912381,1729.19404777757,0.123400018022949,0.08095488641727
"1343",-2.52449419880283,NA,"+","+",-0.121573908984897,"+","+","+",NA,NA,"+",NA,"+",NA,0.256015040821969,22,-842.084894794185,1729.66904884763,0.598401088086575,0.0638407375815506
"1311",-2.95671022632103,NA,"+","+",-0.126830589430116,"+","+",NA,NA,NA,"+",NA,"+",NA,0.249866884237092,20,-844.700842428874,1730.64245295228,1.57180519274152,0.0392397182439164
"831",-2.5650361236807,NA,"+","+",-0.0466264937673179,"+","+","+",NA,NA,"+","+",NA,NA,0.254858687142624,22,-842.578405263709,1730.65606978668,1.58542202713579,0.0389734652805432
"319",-2.47113371200724,NA,"+","+",-0.100599712234992,"+","+","+",NA,NA,"+",NA,NA,NA,0.246942675679561,19,-845.938201475761,1730.99734690433,1.92669914478302,0.0328595519803895
"1342",-1.78831670919273,"+",NA,"+",-0.131319870628752,"+","+","+",NA,NA,"+",NA,"+",NA,0.253929379652508,22,-842.974511441786,1731.44828214283,2.37763438328966,0.0262266182579558
"1344",-2.52150031893103,"+","+","+",-0.134414031337598,"+","+","+",NA,NA,"+",NA,"+",NA,0.261150743701717,25,-839.884599486717,1731.70372278296,2.63307502341604,0.0230820333767711
"830",-1.91846734290517,"+",NA,"+",-0.0462735323529733,"+","+","+",NA,NA,"+","+",NA,NA,0.253550247569188,22,-843.135982916412,1731.77122509208,2.7005773325418,0.0223159882720443
"318",-1.84704783762324,"+",NA,"+",-0.101683632117456,"+","+","+",NA,NA,"+",NA,NA,NA,0.245937492816733,19,-846.362526625868,1731.84599720454,2.7753494449953,0.0214970846489501
"61",-1.87060098978812,NA,NA,"+",-0.13419854655936,"+","+","+",NA,NA,NA,NA,NA,NA,0.232983323084465,14,-851.785292918604,1732.18551995141,3.11487219186779,0.0181406623051761
"2365",-1.88060793774538,NA,NA,"+",-0.107242300287008,"+","+","+",NA,NA,"+",NA,NA,"+",0.24297204506731,18,-847.611354936887,1732.23007364402,3.15942588448161,0.017741013543387
"573",-1.94212569929226,NA,NA,"+",-0.072220518529209,"+","+","+",NA,NA,NA,"+",NA,NA,0.240222048887176,17,-848.765470973507,1732.43094194701,3.36029418747239,0.0160457650826019
"799",-3.03801131487749,NA,"+","+",-0.0492862319490711,"+","+",NA,NA,NA,"+","+",NA,NA,0.247580464530003,20,-845.668699263332,1732.5781666212,3.50751886165654,0.0149070256191513
"1312",-3.00983580312352,"+","+","+",-0.139233733897831,"+","+",NA,NA,NA,"+",NA,"+",NA,0.255095207571452,23,-842.477519453585,1732.59302110302,3.5223733434741,0.0147967176974828
"382",-1.90177038198572,"+",NA,"+",-0.0766332918573652,"+","+","+","+",NA,"+",NA,NA,NA,0.252491571610603,22,-843.586475385972,1732.6722100312,3.60156227166135,0.0142222965804574
"1085",-1.89358065769158,NA,NA,"+",-0.126445992034387,"+","+","+",NA,NA,NA,NA,"+",NA,0.239864834241021,17,-848.915106819863,1732.73021363973,3.65956588018435,0.0138157481335385
"832",-2.60047230943263,"+","+","+",-0.0470561711217776,"+","+","+",NA,NA,"+","+",NA,NA,0.259921558144603,25,-840.412485043406,1732.75949389634,3.68884613679393,0.0136149571971095
"3389",-1.87659477793441,NA,NA,"+",-0.13316806138375,"+","+","+",NA,NA,"+",NA,"+","+",0.249744486817548,21,-844.752722132515,1732.87230817036,3.80166041081361,0.0128682346620898
"384",-2.58523343258914,"+","+","+",-0.0753494795539595,"+","+","+","+",NA,"+",NA,NA,NA,0.25973117405715,25,-840.494175954638,1732.9228757188,3.85222795925756,0.0125469558083829
"1087",-2.52308976006713,NA,"+","+",-0.127862734379189,"+","+","+",NA,NA,NA,NA,"+",NA,0.247094858713036,20,-845.873914355155,1732.98859680484,3.91794904530161,0.0121413566289154
"320",-2.48944762809562,"+","+","+",-0.101218596200711,"+","+","+",NA,NA,"+",NA,NA,NA,0.251943355386516,22,-843.819526450647,1733.13831216055,4.06766440101183,0.0112656677675776
"2877",-1.97880145861777,NA,NA,"+",-0.0646372173656655,"+","+","+",NA,NA,"+","+",NA,"+",0.24930616758117,21,-844.938446083562,1733.24375607245,4.1731083129082,0.010687105211008
"575",-2.52791347366825,NA,"+","+",-0.0708058040481049,"+","+","+",NA,NA,NA,"+",NA,NA,0.246605802970799,20,-846.080465486469,1733.40169906747,4.33105130793138,0.00987559336669063
"63",-2.43479585329374,NA,"+","+",-0.13195950362032,"+","+","+",NA,NA,NA,NA,NA,NA,0.239013449723489,17,-849.271490063075,1733.44298012615,4.37233236660813,0.009673845149608
"3391",-2.51481236713524,NA,"+","+",-0.147724046251723,"+","+","+",NA,NA,"+",NA,"+","+",0.256563321254118,24,-841.850654684093,1733.48437028943,4.41372252989163,0.00947570150569296
