"","Pseudo R^2","LikRatio","p","DF","AICc","delta","weight"
"xOrder",0.332,"12.1122","0.2776",14,1801.4,52.0400000000002,0
"xVegShift",0.3217,"9.6139","0.2932",12,1799.74,50.3800000000001,0
"xGeomorph",0.0978,"5.8784","0.437",10,1799.34,49.98,0
"pOrder",0.3143,"6.712","0.243",9,1796.45,47.0900000000001,0
"xVegUp",0.0517,"1.5449","0.4619",6,1795.47,46.1100000000001,0
"xVegFld",0.2085,"5.7626","0.2176",8,1795.34,45.98,0
"pGeomorph",0.12,"3.9817","0.2634",7,1795.08,45.72,0
"pVegShift",0.2984,"6.1477","0.1884",8,1794.96,45.6000000000001,0
"pVegUp",0.0587,"0.7931","0.3732",5,1794.19,44.8300000000002,0
"xBanks",0.3185,"11.6937","0.0692",10,1793.52,44.1600000000001,0
"pVegFld",0.1618,"3.5584","0.1688",6,1793.46,44.1000000000001,0
"xWidth",0.1747,"3.6603","0.1604",6,1793.36,44,0
"Distance",0,"NA","NA",4,1792.95,43.5900000000001,0
"pWidth",0.1627,"3.279","0.0702",5,1791.7,42.3400000000001,0
"xRegion",0.4126,"14.1376","0.0281",10,1791.08,41.72,0
"pBanks",0.3074,"8.1874","0.0423",7,1790.87,41.51,0
"xOrderClass",0.513,"14.8312","0.0216",10,1790.39,41.0300000000002,0
"pOrderClass",0.4873,"11.4728","0.0094",7,1787.59,38.23,0
"pRegion",0.403,"11.5142","0.0092",7,1787.55,38.1900000000001,0
"pGroup",0.1085,"45.4019","0",6,1751.62,2.25999999999999,0.2442
"xGroup",0.0636,"51.7494","0",8,1749.36,0,0.7558
