Code,Site,Bank,Dist,Group,Method,Replicate,Abund,Biomass
BELG1-AQ/Aq AqEphe,BELG1,AQ,Aq,AqEphe,D-Net,0,37,46
BELG1-AQ/Aq AqTric,BELG1,AQ,Aq,AqTric,D-Net,0,21,50.4
BELG1-AQ/Aq AqMisc,BELG1,AQ,Aq,AqMisc,D-Net,0,3,1.2
BELG1-AQ/Aq PrBeet,BELG1,AQ,Aq,PrBeet,D-Net,0,1,0.1
BELG1-AQ/Aq AqEphe,BELG1,AQ,Aq,AqEphe,Surber,0,8,1.6
BELG1-AQ/Aq AqMisc,BELG1,AQ,Aq,AqMisc,Surber,0,8,6.1
BELG1-AQ/Aq AqTric,BELG1,AQ,Aq,AqTric,Surber,0,3,9.7
BOLZ1-AQ/Aq AqMisc,BOLZ1,AQ,Aq,AqMisc,D-Net,0,26,44.5
BOLZ1-AQ/Aq AqEphe,BOLZ1,AQ,Aq,AqEphe,D-Net,0,22,21.8
BOLZ1-AQ/Aq AqTric,BOLZ1,AQ,Aq,AqTric,D-Net,0,64,147.9
BOLZ1-AQ/Aq AqMisc,BOLZ1,AQ,Aq,AqMisc,Surber,0,44,18.7
BOLZ1-AQ/Aq AqEphe,BOLZ1,AQ,Aq,AqEphe,Surber,0,343,80.7
BOLZ1-AQ/Aq AqPlec,BOLZ1,AQ,Aq,AqPlec,Surber,0,14,2
BOLZ1-AQ/Aq AqTric,BOLZ1,AQ,Aq,AqTric,Surber,0,1,0.4
BOLZ1-AQ/Aq TeMisc,BOLZ1,AQ,Aq,TeMisc,Surber,0,1,0.8
BOLZ1-AQ/Aq HeHemi,BOLZ1,AQ,Aq,HeHemi,Surber,0,1,3.1
ISLA1-AQ/Aq AqMisc,ISLA1,AQ,Aq,AqMisc,D-Net,0,80,17.5
ISLA1-AQ/Aq AqEphe,ISLA1,AQ,Aq,AqEphe,D-Net,0,92,35.9
ISLA1-AQ/Aq AqTric,ISLA1,AQ,Aq,AqTric,D-Net,0,1,6.6
ISLA1-AQ/Aq AqPlec,ISLA1,AQ,Aq,AqPlec,D-Net,0,96,0.3
ISLA1-AQ/Aq AeAqEp,ISLA1,AQ,Aq,AeAqEp,D-Net,0,36,0.1
ISLA1-AQ/Aq TeMisc,ISLA1,AQ,Aq,TeMisc,D-Net,0,3,0.4
RESI1-AQ/Aq AqMisc,RESI1,AQ,Aq,AqMisc,D-Net,0,96,63.2
RESI1-AQ/Aq AqTric,RESI1,AQ,Aq,AqTric,D-Net,0,18,46.8
RESI1-AQ/Aq AqPlec,RESI1,AQ,Aq,AqPlec,D-Net,0,36,5.6
RESI1-AQ/Aq AqEphe,RESI1,AQ,Aq,AqEphe,D-Net,0,297,174.4
RESI4-ALL/0 AeAqPl,RESI4,ALL,0,AeAqPl,Ground,0,2,6.9
RESI4-ALL/0 AeAqEp,RESI4,ALL,0,AeAqEp,Ground,0,1,4.3
ISLA1-AQ/Aq AqEphe,ISLA1,AQ,Aq,AqEphe,Surber,0,4,3.4
ISLA1-AQ/Aq TeMisc,ISLA1,AQ,Aq,TeMisc,Surber,0,6,1.7
ISLA1-AQ/Aq AqEphe,ISLA1,AQ,Aq,AqEphe,Surber,0,14,4.5
ISLA1-AQ/Aq AqMisc,ISLA1,AQ,Aq,AqMisc,Surber,0,50,2.7
ISLA1-AQ/Aq AqTric,ISLA1,AQ,Aq,AqTric,Surber,0,2,1.8
