,Code,Site,Bank,Dist,Group,Abund,Biomass,PercC,PercN,d13C,d15N,Trophic,shortSite,SiteBank,d13Cadj,d15Nadj,PercCaq,PercNaq,Region,Width,WidthClass,WidthClass2,Order,OrderClass,Geomorph,Banks,VegFld,VegUp,VegShift,PercAq,PercAqAdj,PercAqRel
587,ARZO1-LB/0 PrBeet,ARZO1,LB,0,PrBeet,27,56,0.4762,0.1056,-27.01,2.73,2,ARZO1,ARZO1LB,-31.71,-4.59,0.9705,0.66,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.66,0.66,0.477886978
588,ARZO1-LB/0 PrSpHu,ARZO1,LB,0,PrSpHu,6,12.7,0.4403,0.1242,-26.39,4.11,2,ARZO1,ARZO1LB,-31.09,-3.21,0.8874,0.9647,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.9647,0.9647,0.945792383
594,ARZO1-LB/1 PrBeet,ARZO1,LB,1,PrBeet,28,35.3,0.4823,0.0976,-27.58,2.01,2,ARZO1,ARZO1LB,-32.28,-5.31,1,0.5011,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.5011,0.5011,0.233875921
595,ARZO1-LB/1 PrSpHu,ARZO1,LB,1,PrSpHu,13,22.9,0.4348,0.1177,-26.06,3.91,2,ARZO1,ARZO1LB,-30.76,-3.41,0.8432,0.9205,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.9205,0.9205,0.87791769
596,ARZO1-LB/2 PrBeet,ARZO1,LB,2,PrBeet,8,9.4,0.469,0.0992,-27.44,1.7,2,ARZO1,ARZO1LB,-32.14,-5.62,1,0.4327,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.4327,0.4327,0.128839066
599,ARZO1-LB/2 PrSpHu,ARZO1,LB,2,PrSpHu,19,11.6,0.4585,0.1183,-26.73,4.27,2,ARZO1,ARZO1LB,-31.43,-3.05,0.933,1,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,1,1,1
601,ARZO1-LB/4 PrSpHu,ARZO1,LB,4,PrSpHu,33,49.6,0.4284,0.1138,-26.96,3.55,2,ARZO1,ARZO1LB,-31.66,-3.77,0.9638,0.841,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.841,0.841,0.755835381
602,ARZO1-LB/4 PrBeet,ARZO1,LB,4,PrBeet,44,63.3,0.4871,0.098,-27.23,3.02,2,ARZO1,ARZO1LB,-31.93,-4.3,1,0.7241,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.7241,0.7241,0.576320639
606,ARZO1-LB/8 PrBeet,ARZO1,LB,8,PrBeet,105,55,0.4542,0.0989,-27.09,2.22,2,ARZO1,ARZO1LB,-31.79,-5.1,0.9812,0.5475,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.5475,0.5475,0.305128993
607,ARZO1-LB/8 PrSpHu,ARZO1,LB,8,PrSpHu,7,7.9,0.4319,0.115,-26.56,4.02,2,ARZO1,ARZO1LB,-31.26,-3.3,0.9102,0.9448,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.9448,0.9448,0.915233415
609,ARZO1-LB/16 PrBeet,ARZO1,LB,16,PrBeet,37,31,0.4669,0.1088,-26.6,1.93,2,ARZO1,ARZO1LB,-31.3,-5.39,0.9155,0.4835,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.4835,0.4835,0.206848894
613,ARZO1-LB/32 PrSpHu,ARZO1,LB,32,PrSpHu,8,15.7,0.435,0.1141,-26.87,0.39,2,ARZO1,ARZO1LB,-31.57,-6.93,0.9517,0.1435,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.1435,0.3488,0
615,ARZO1-LB/40 PrBeet,ARZO1,LB,40,PrBeet,2,133.5,0.5059,0.0877,-26.91,2.42,2,ARZO1,ARZO1LB,-31.61,-4.9,0.9571,0.5916,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.5916,0.5916,0.372850123
617,ARZO1-LB/40 PrSpHu,ARZO1,LB,40,PrSpHu,3,32.8,0.4425,0.114,-26.45,2.11,2,ARZO1,ARZO1LB,-31.15,-5.21,0.8955,0.5232,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.5232,0.5232,0.267813268
680,ARZO1-LB/4 PrSpWe,ARZO1,LB,4,PrSpWe,1,9.1,0.4312,0.1252,-26.93,1.32,2,ARZO1,ARZO1LB,-31.63,-6,0.9598,0.3488,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.3488,0.3488,0
621,ARZO1-RB/1 PrSpHu,ARZO1,RB,1,PrSpHu,15,8.6,0.4536,0.1265,-26.02,3.35,2,ARZO1,ARZO1RB,-30.72,-3.97,0.8378,0.797,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.797,0.797,0.797
624,ARZO1-RB/2 PrSpHu,ARZO1,RB,2,PrSpHu,34,26.6,0.448,0.1194,-26.13,4.32,2,ARZO1,ARZO1RB,-30.83,-3,0.8526,1,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,1,1,1
629,ARZO1-RB/4 PrSpHu,ARZO1,RB,4,PrSpHu,14,8.1,0.4505,0.1217,-26.18,2.79,2,ARZO1,ARZO1RB,-30.88,-4.53,0.8593,0.6733,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.6733,0.6733,0.6733
631,ARZO1-RB/4 PrSpWe,ARZO1,RB,4,PrSpWe,1,6.6,0.4201,0.1122,-25.38,1.81,2,ARZO1,ARZO1RB,-30.08,-5.51,0.752,0.457,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.457,0.457,0.457
632,ARZO1-RB/8 PrSpWe,ARZO1,RB,8,PrSpWe,4,11.7,0.436,0.1209,-25.39,2.13,2,ARZO1,ARZO1RB,-30.09,-5.19,0.7533,0.5276,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.5276,0.5276,0.5276
634,ARZO1-RB/8 PrSpHu,ARZO1,RB,8,PrSpHu,10,16.2,0.445,0.1233,-25.7,2.6,2,ARZO1,ARZO1RB,-30.4,-4.72,0.7949,0.6313,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.6313,0.6313,0.6313
636,ARZO1-RB/16 PrSpWe,ARZO1,RB,16,PrSpWe,5,12,0.4524,0.1178,-25.82,0.71,2,ARZO1,ARZO1RB,-30.52,-6.61,0.811,0.2141,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.2141,0.2141,0.2141
639,ARZO1-RB/16 PrBeet,ARZO1,RB,16,PrBeet,2,219.3,0.5094,0.1033,-26.68,1.28,2,ARZO1,ARZO1RB,-31.38,-6.04,0.9263,0.34,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.34,0.34,0.34
640,ARZO1-RB/32 PrBeet,ARZO1,RB,32,PrBeet,4,424.1,0.5439,0.091,-26.96,1.63,2,ARZO1,ARZO1RB,-31.66,-5.69,0.9638,0.4173,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.4173,0.4173,0.4173
641,ARZO1-RB/32 PrSpHu,ARZO1,RB,32,PrSpHu,7,32.1,0.4618,0.1212,-25.84,2.52,2,ARZO1,ARZO1RB,-30.54,-4.8,0.8137,0.6137,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.6137,0.6137,0.6137
644,ARZO1-RB/32 PrSpWe,ARZO1,RB,32,PrSpWe,5,7.9,0.4473,0.1214,-25.64,-0.26,2,ARZO1,ARZO1RB,-30.34,-7.58,0.7869,0,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0,0,0
683,ARZO1-RB/0 PrSpWe,ARZO1,RB,0,PrSpWe,2,5.8,0.4476,0.1311,-26.85,1.61,2,ARZO1,ARZO1RB,-31.55,-5.71,0.949,0.4128,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.4128,0.4128,0.4128
700,ARZO1-RB/0 PrBeet,ARZO1,RB,0,PrBeet,10,17.1,0.4415,0.1151,-26.25,1.71,2,ARZO1,ARZO1RB,-30.95,-5.61,0.8686,0.4349,Tagliamento,22,5,5to6,3,3to4,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.4349,0.4349,0.4349
2086,BALL1-LB/0 PrSpWe,BALL1,LB,0,PrSpWe,6,11.1,0.466,0.1222,-14.17,3.4,2,BALL1,BALL1LB,-14.97,-3.4,0.8871,0.6796,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.8871,0.8871,1
2087,BALL1-LB/0 PrBeet,BALL1,LB,0,PrBeet,1,5.8,0.5033,0.1046,-16.28,2.33,2,BALL1,BALL1LB,-17.08,-4.47,0.2909,0.9112,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.2909,0.4916,0
2089,BALL1-LB/2.5 PrSpWe,BALL1,LB,2.5,PrSpWe,9,21.1,0.4891,0.1169,-14.76,2.85,2,BALL1,BALL1LB,-15.56,-3.95,0.7204,0.7987,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.7204,0.7204,0.578508217
2093,BALL1-LB/5 PrSpWe,BALL1,LB,5,PrSpWe,8,4.7,0.4823,0.1218,-14.91,2.26,2,BALL1,BALL1LB,-15.71,-4.54,0.678,0.9264,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.678,0.678,0.471302149
2100,BALL1-LB/10 PrSpWe,BALL1,LB,10,PrSpWe,7,10.9,0.5368,0.1095,-15.32,2.74,2,BALL1,BALL1LB,-16.12,-4.06,0.5622,0.8225,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.5622,0.5622,0.178508217
2103,BALL1-LB/15 PrSpWe,BALL1,LB,15,PrSpWe,4,8.2,0.5852,0.0969,-16.03,1.92,2,BALL1,BALL1LB,-16.83,-4.88,0.3616,1,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.3616,0.4916,0
2104,BALL1-LB/15 PrSpHu,BALL1,LB,15,PrSpHu,4,9,0.5484,0.0873,-16.34,3.96,2,BALL1,BALL1LB,-17.14,-2.84,0.274,0.5584,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.274,0.4916,0
2105,BALL1-LB/20 PrSpWe,BALL1,LB,20,PrSpWe,2,25.9,0.5042,0.1194,-15.36,2.67,2,BALL1,BALL1LB,-16.16,-4.13,0.5509,0.8377,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.5509,0.5509,0.149936789
2110,BALL1-LB/25 PrSpWe,BALL1,LB,25,PrSpWe,2,6.5,0.5373,0.0945,-15.85,3.17,2,BALL1,BALL1LB,-16.65,-3.63,0.4124,0.7294,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.4124,0.4916,0
2112,BALL1-LB/30 PrSpWe,BALL1,LB,30,PrSpWe,5,6.8,0.4669,0.1306,-14.35,2.36,2,BALL1,BALL1LB,-15.15,-4.44,0.8362,0.9048,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.8362,0.8362,0.871302149
2116,BALL1-LB/40 PrSpWe,BALL1,LB,40,PrSpWe,5,7.5,0.5329,0.1155,-15.21,3.11,2,BALL1,BALL1LB,-16.01,-3.69,0.5932,0.7424,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.5932,0.5932,0.256890013
2118,BALL1-LB/50 PrSpWe,BALL1,LB,50,PrSpWe,5,11.6,0.5692,0.1038,-15.57,2.29,2,BALL1,BALL1LB,-16.37,-4.51,0.4916,0.9199,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.4916,0.4916,0
